Condition,Ratio,Width,dT_patch,dP_patch,Ratio_std,dT_patch_std,dP_patch_std,N_patch_dT,N_patch_dP,N_eq,rel_growth
A,0.24060600000000001,99.85596366666668,11.29068646,52.94768316666667,0.01638633186530775,2.0404023953849535,15.348714993313486,5,6,6,0.08397712163074365
AA,0.45808316666666665,1189.0853333333332,150.578212,148.406206,0.028463723624407727,12.784019923833428,19.97789380353395,5,5,6,1.0
B,0.3895565,165.93776083333333,9.2378599,10.53605935,0.028002247515154927,1.0566699712121754,6.2386602324827605,5,4,6,0.1395507590428049
C,0.5573683333333334,-0.490552683333334,8.58589102,18.913274916666666,0.022063909297009573,1.9347397450864323,12.01265771379844,5,6,6,-0.00041254624002314444
D,0.57236,298.2230233333333,22.793291333333332,5.035558975,0.005222083540120744,10.466226215585534,0.04391111389518406,6,4,5,0.2508003546703685
E,0.161826,803.8148983333334,117.13882116666666,227.42617,0.04893671070270253,23.069620680435257,11.05707283493466,6,5,6,0.6759942922515234
F,0.30050683333333333,854.3083733333333,120.19538,176.14955666666665,0.038927426801249866,8.97158270327761,59.68194961776323,5,6,6,0.7184584229446948
G,0.33457116666666664,846.4708416666667,105.5640715,116.726639,0.07560087963884195,16.38578735439983,21.01241877576461,6,5,6,0.7118671956820594
H,0.3084156666666667,873.0305683333332,112.7320175,136.856448,0.057033985319865796,2.0986518958190707,10.507118368640363,4,5,6,0.7342034619887107
